z,H_over_H0,dL,w_phi,w_tot
0.000000000e+00,9.986314958e-01,0.000000000e+00,-9.998833676e-01,-7.020055754e-01
6.937344500e-04,9.989534979e-01,6.950550167e-04,-9.998826978e-01,-7.015774376e-01
1.387950168e-03,9.992760377e-01,1.391332413e-03,-9.998820248e-01,-7.011489443e-01
2.082647486e-03,9.995991156e-01,2.088833523e-03,-9.998813484e-01,-7.007200958e-01
2.777826741e-03,9.999227327e-01,2.787559681e-03,-9.998806688e-01,-7.002908926e-01
3.473488265e-03,1.000246890e+00,3.487512222e-03,-9.998799858e-01,-6.998613351e-01
4.169632393e-03,1.000571588e+00,4.188692481e-03,-9.998792996e-01,-6.994314239e-01
4.866259461e-03,1.000896829e+00,4.891101794e-03,-9.998786100e-01,-6.990011594e-01
5.563369803e-03,1.001222612e+00,5.594741498e-03,-9.998779170e-01,-6.985705420e-01
6.260963754e-03,1.001548938e+00,6.299612928e-03,-9.998772207e-01,-6.981395722e-01
6.959041651e-03,1.001875808e+00,7.005717424e-03,-9.998765210e-01,-6.977082505e-01
7.657603828e-03,1.002203224e+00,7.713056323e-03,-9.998758179e-01,-6.972765773e-01
8.356650621e-03,1.002531186e+00,8.421630963e-03,-9.998751113e-01,-6.968445532e-01
9.056182368e-03,1.002859694e+00,9.131442684e-03,-9.998744014e-01,-6.964121785e-01
9.756199403e-03,1.003188750e+00,9.842492826e-03,-9.998736880e-01,-6.959794538e-01
1.045670206e-02,1.003518355e+00,1.055478273e-02,-9.998729712e-01,-6.955463796e-01
1.115769069e-02,1.003848508e+00,1.126831373e-02,-9.998722509e-01,-6.951129563e-01
1.185916561e-02,1.004179212e+00,1.198308718e-02,-9.998715271e-01,-6.946791844e-01
1.256112718e-02,1.004510467e+00,1.269910440e-02,-9.998707998e-01,-6.942450644e-01
1.326357571e-02,1.004842273e+00,1.341636676e-02,-9.998700689e-01,-6.938105968e-01
1.396651156e-02,1.005174632e+00,1.413487558e-02,-9.998693346e-01,-6.933757821e-01
