z,H_over_H0,dL,w_phi,w_tot
0.000000000e+00,9.986314958e-01,0.000000000e+00,-9.998833676e-01,-7.020055754e-01
6.937344500e-04,9.989899964e-01,6.950423217e-04,-9.998826893e-01,-7.015992432e-01
1.387950168e-03,9.993490024e-01,1.391281600e-03,-9.998820076e-01,-7.011925823e-01
2.082647486e-03,9.997085146e-01,2.088719138e-03,-9.998813225e-01,-7.007855931e-01
2.777826741e-03,1.000068534e+00,2.787356238e-03,-9.998806340e-01,-7.003782760e-01
3.473488265e-03,1.000429061e+00,3.487194206e-03,-9.998799422e-01,-6.999706313e-01
4.169632393e-03,1.000790097e+00,4.188234344e-03,-9.998792470e-01,-6.995626593e-01
4.866259461e-03,1.001151642e+00,4.890477959e-03,-9.998785483e-01,-6.991543606e-01
5.563369803e-03,1.001513698e+00,5.593926356e-03,-9.998778463e-01,-6.987457353e-01
6.260963754e-03,1.001876265e+00,6.298580842e-03,-9.998771407e-01,-6.983367840e-01
6.959041651e-03,1.002239343e+00,7.004442723e-03,-9.998764317e-01,-6.979275069e-01
7.657603828e-03,1.002602935e+00,7.711513308e-03,-9.998757193e-01,-6.975179045e-01
8.356650621e-03,1.002967039e+00,8.419793903e-03,-9.998750033e-01,-6.971079771e-01
9.056182368e-03,1.003331658e+00,9.129285819e-03,-9.998742838e-01,-6.966977251e-01
9.756199403e-03,1.003696793e+00,9.839990365e-03,-9.998735608e-01,-6.962871489e-01
1.045670206e-02,1.004062443e+00,1.055190885e-02,-9.998728343e-01,-6.958762489e-01
1.115769069e-02,1.004428609e+00,1.126504259e-02,-9.998721042e-01,-6.954650254e-01
1.185916561e-02,1.004795293e+00,1.197939288e-02,-9.998713705e-01,-6.950534789e-01
1.256112718e-02,1.005162495e+00,1.269496105e-02,-9.998706333e-01,-6.946416098e-01
1.326357571e-02,1.005530216e+00,1.341174841e-02,-9.998698924e-01,-6.942294184e-01
1.396651156e-02,1.005898457e+00,1.412975627e-02,-9.998691479e-01,-6.938169051e-01
1.466993506e-02,1.006267218e+00,1.484898593e-02,-9.998683998e-01,-6.934040703e-01
1.537384655e-02,1.006636501e+00,1.556943873e-02,-9.998676481e-01,-6.929909144e-01
1.607824637e-02,1.007006306e+00,1.629111597e-02,-9.998668926e-01,-6.925774378e-01
1.678313485e-02,1.007376633e+00,1.701401896e-02,-9.998661335e-01,-6.921636410e-01
1.748851234e-02,1.007747485e+00,1.773814903e-02,-9.998653707e-01,-6.917495243e-01
1.819437917e-02,1.008118861e+00,1.846350749e-02,-9.998646042e-01,-6.913350881e-01
1.890073569e-02,1.008490762e+00,1.919009566e-02,-9.998638339e-01,-6.909203328e-01
1.960758223e-02,1.008863190e+00,1.991791485e-02,-9.998630599e-01,-6.905052589e-01
2.031491914e-02,1.009236145e+00,2.064696639e-02,-9.998622822e-01,-6.900898667e-01
2.102274675e-02,1.009609627e+00,2.137725159e-02,-9.998615006e-01,-6.896741567e-01
2.173106540e-02,1.009983638e+00,2.210877178e-02,-9.998607153e-01,-6.892581292e-01
2.243987544e-02,1.010358178e+00,2.284152827e-02,-9.998599261e-01,-6.888417848e-01
2.314917721e-02,1.010733249e+00,2.357552238e-02,-9.998591331e-01,-6.884251237e-01
2.385897104e-02,1.011108850e+00,2.431075544e-02,-9.998583363e-01,-6.880081465e-01
2.456925728e-02,1.011484983e+00,2.504722876e-02,-9.998575356e-01,-6.875908535e-01
2.528003627e-02,1.011861649e+00,2.578494368e-02,-9.998567310e-01,-6.871732452e-01
2.599130835e-02,1.012238848e+00,2.652390151e-02,-9.998559225e-01,-6.867553220e-01
2.670307387e-02,1.012616582e+00,2.726410358e-02,-9.998551101e-01,-6.863370843e-01
2.741533316e-02,1.012994850e+00,2.800555121e-02,-9.998542937e-01,-6.859185326e-01
2.812808657e-02,1.013373655e+00,2.874824573e-02,-9.998534734e-01,-6.854996672e-01
2.884133444e-02,1.013752996e+00,2.949218846e-02,-9.998526492e-01,-6.850804887e-01
2.955507712e-02,1.014132875e+00,3.023738073e-02,-9.998518209e-01,-6.846609974e-01
3.026931494e-02,1.014513292e+00,3.098382387e-02,-9.998509887e-01,-6.842411938e-01
3.098404826e-02,1.014894248e+00,3.173151920e-02,-9.998501524e-01,-6.838210783e-01
3.169927741e-02,1.015275744e+00,3.248046806e-02,-9.998493121e-01,-6.834006514e-01
3.241500274e-02,1.015657781e+00,3.323067176e-02,-9.998484678e-01,-6.829799135e-01
3.313122460e-02,1.016040359e+00,3.398213164e-02,-9.998476193e-01,-6.825588650e-01
3.384794332e-02,1.016423479e+00,3.473484903e-02,-9.998467668e-01,-6.821375064e-01
3.456515925e-02,1.016807143e+00,3.548882526e-02,-9.998459102e-01,-6.817158382e-01
3.528287275e-02,1.017191351e+00,3.624406166e-02,-9.998450494e-01,-6.812938608e-01
3.600108414e-02,1.017576104e+00,3.700055957e-02,-9.998441845e-01,-6.808715746e-01
3.671979378e-02,1.017961402e+00,3.775832030e-02,-9.998433154e-01,-6.804489801e-01
3.743900202e-02,1.018347248e+00,3.851734521e-02,-9.998424422e-01,-6.800260777e-01
3.815870919e-02,1.018733640e+00,3.927763561e-02,-9.998415647e-01,-6.796028680e-01
3.887891565e-02,1.019120580e+00,4.003919284e-02,-9.998406830e-01,-6.791793513e-01
3.959962175e-02,1.019508070e+00,4.080201825e-02,-9.998397971e-01,-6.787555281e-01
4.032082782e-02,1.019896109e+00,4.156611316e-02,-9.998389069e-01,-6.783313989e-01
4.104253422e-02,1.020284699e+00,4.233147890e-02,-9.998380125e-01,-6.779069642e-01
4.176474129e-02,1.020673840e+00,4.309811682e-02,-9.998371138e-01,-6.774822244e-01
4.248744938e-02,1.021063534e+00,4.386602825e-02,-9.998362107e-01,-6.770571800e-01
4.321065883e-02,1.021453781e+00,4.463521453e-02,-9.998353033e-01,-6.766318314e-01
4.393437001e-02,1.021844581e+00,4.540567700e-02,-9.998343916e-01,-6.762061792e-01
4.465858324e-02,1.022235937e+00,4.617741699e-02,-9.998334755e-01,-6.757802237e-01
4.538329889e-02,1.022627848e+00,4.695043584e-02,-9.998325550e-01,-6.753539656e-01
4.610851730e-02,1.023020316e+00,4.772473490e-02,-9.998316301e-01,-6.749274052e-01
4.683423882e-02,1.023413341e+00,4.850031550e-02,-9.998307008e-01,-6.745005430e-01
4.756046379e-02,1.023806924e+00,4.927717898e-02,-9.998297671e-01,-6.740733795e-01
4.828719257e-02,1.024201066e+00,5.005532669e-02,-9.998288288e-01,-6.736459153e-01
4.901442551e-02,1.024595768e+00,5.083475997e-02,-9.998278861e-01,-6.732181507e-01
4.974216296e-02,1.024991031e+00,5.161548015e-02,-9.998269389e-01,-6.727900862e-01
5.047040526e-02,1.025386855e+00,5.239748859e-02,-9.998259871e-01,-6.723617225e-01
5.119915277e-02,1.025783241e+00,5.318078662e-02,-9.998250309e-01,-6.719330598e-01
5.192840583e-02,1.026180191e+00,5.396537560e-02,-9.998240700e-01,-6.715040989e-01
5.265816481e-02,1.026577705e+00,5.475125685e-02,-9.998231046e-01,-6.710748400e-01
5.338843004e-02,1.026975784e+00,5.553843174e-02,-9.998221345e-01,-6.706452838e-01
5.411920188e-02,1.027374428e+00,5.632690160e-02,-9.998211599e-01,-6.702154307e-01
5.485048069e-02,1.027773639e+00,5.711666778e-02,-9.998201806e-01,-6.697852812e-01
5.558226681e-02,1.028173418e+00,5.790773163e-02,-9.998191966e-01,-6.693548358e-01
5.631456059e-02,1.028573765e+00,5.870009449e-02,-9.998182079e-01,-6.689240951e-01
5.704736239e-02,1.028974681e+00,5.949375772e-02,-9.998172146e-01,-6.684930595e-01
5.778067256e-02,1.029376167e+00,6.028872266e-02,-9.998162165e-01,-6.680617295e-01
