z,H_over_H0,dL,w_phi,w_tot
5.778067256e-02,1.027475882e+00,6.034597998e-02,-9.998168768e-01,-6.668327748e-01
5.851449146e-02,1.027855399e+00,6.114369104e-02,-9.998158851e-01,-6.663854037e-01
5.924881942e-02,1.028235510e+00,6.194272493e-02,-9.998148887e-01,-6.659377273e-01
5.998365682e-02,1.028616218e+00,6.274308303e-02,-9.998138875e-01,-6.654897461e-01
6.071900400e-02,1.028997522e+00,6.354476670e-02,-9.998128817e-01,-6.650414608e-01
6.145486132e-02,1.029379423e+00,6.434777732e-02,-9.998118710e-01,-6.645928719e-01
6.219122912e-02,1.029761923e+00,6.515211624e-02,-9.998108557e-01,-6.641439801e-01
6.292810777e-02,1.030145022e+00,6.595778483e-02,-9.998098355e-01,-6.636947860e-01
6.366549761e-02,1.030528721e+00,6.676478447e-02,-9.998088105e-01,-6.632452901e-01
6.440339901e-02,1.030913020e+00,6.757311652e-02,-9.998077807e-01,-6.627954930e-01
6.514181232e-02,1.031297922e+00,6.838278235e-02,-9.998067461e-01,-6.623453954e-01
6.588073789e-02,1.031683427e+00,6.919378334e-02,-9.998057066e-01,-6.618949979e-01
6.662017608e-02,1.032069535e+00,7.000612084e-02,-9.998046622e-01,-6.614443011e-01
6.736012724e-02,1.032456248e+00,7.081979624e-02,-9.998036129e-01,-6.609933055e-01
6.810059173e-02,1.032843566e+00,7.163481090e-02,-9.998025586e-01,-6.605420118e-01
6.884156991e-02,1.033231490e+00,7.245116620e-02,-9.998014994e-01,-6.600904207e-01
6.958306212e-02,1.033620021e+00,7.326886351e-02,-9.998004352e-01,-6.596385326e-01
7.032506874e-02,1.034009161e+00,7.408790419e-02,-9.997993660e-01,-6.591863484e-01
7.106759011e-02,1.034398909e+00,7.490828964e-02,-9.997982918e-01,-6.587338685e-01
7.181062660e-02,1.034789267e+00,7.573002120e-02,-9.997972126e-01,-6.582810936e-01
7.255417856e-02,1.035180236e+00,7.655310027e-02,-9.997961283e-01,-6.578280243e-01
7.329824634e-02,1.035571816e+00,7.737752822e-02,-9.997950389e-01,-6.573746613e-01
7.404283031e-02,1.035964009e+00,7.820330642e-02,-9.997939444e-01,-6.569210051e-01
7.478793082e-02,1.036356815e+00,7.903043624e-02,-9.997928448e-01,-6.564670565e-01
7.553354823e-02,1.036750236e+00,7.985891907e-02,-9.997917400e-01,-6.560128160e-01
7.627968291e-02,1.037144272e+00,8.068875628e-02,-9.997906301e-01,-6.555582843e-01
7.702633520e-02,1.037538924e+00,8.151994924e-02,-9.997895149e-01,-6.551034620e-01
7.777350547e-02,1.037934193e+00,8.235249934e-02,-9.997883946e-01,-6.546483497e-01
7.852119408e-02,1.038330080e+00,8.318640795e-02,-9.997872690e-01,-6.541929482e-01
7.926940139e-02,1.038726585e+00,8.402167645e-02,-9.997861381e-01,-6.537372580e-01
8.001812776e-02,1.039123710e+00,8.485830622e-02,-9.997850019e-01,-6.532812798e-01
8.076737354e-02,1.039521455e+00,8.569629863e-02,-9.997838605e-01,-6.528250142e-01
8.151713910e-02,1.039919822e+00,8.653565508e-02,-9.997827137e-01,-6.523684619e-01
8.226742480e-02,1.040318811e+00,8.737637693e-02,-9.997815615e-01,-6.519116236e-01
8.301823099e-02,1.040718424e+00,8.821846557e-02,-9.997804040e-01,-6.514544998e-01
8.376955805e-02,1.041118661e+00,8.906192238e-02,-9.997792411e-01,-6.509970913e-01
8.452140633e-02,1.041519523e+00,8.990674874e-02,-9.997780727e-01,-6.505393987e-01
8.527377619e-02,1.041921011e+00,9.075294604e-02,-9.997768989e-01,-6.500814227e-01
8.602666800e-02,1.042323126e+00,9.160051565e-02,-9.997757196e-01,-6.496231639e-01
8.678008211e-02,1.042725869e+00,9.244945896e-02,-9.997745348e-01,-6.491646230e-01
8.753401889e-02,1.043129240e+00,9.329977735e-02,-9.997733445e-01,-6.487058006e-01
8.828847871e-02,1.043533241e+00,9.415147220e-02,-9.997721487e-01,-6.482466975e-01
