z,a,N,H_over_H0,D,f,sigma8_z,fsigma8
3.0,0.25,-1.3862943611198906,4.460955857,0.31650394865505427,1.0,0.25320315892404344,0.25320315892404344
2.997226986,0.25017343360845606,-1.385600867208566,4.456481043,0.31672351030088125,0.9999267692244455,0.253378808240705,0.25336025311406846
2.994455894,0.25034698755895185,-1.3849073731966868,4.452011045,0.31694320819424554,0.9998535321412665,0.25355456655539643,0.25351742896096097
2.991686724,0.25052066185141836,-1.3842138794179153,4.447545859,0.31716304229916054,0.999780285870887,0.2537304338393284,0.2536746856780279
2.988919473,0.2506944566739816,-1.3835203854545253,4.44308548,0.3173830128175468,0.9997070277715475,0.25390641025403743,0.25383202272720695
2.98615414,0.2508683720895951,-1.3828268913891362,4.438629902,0.3176031197925627,0.999633755570411,0.2540824958340502,0.2539894395352949
2.983390725,0.2510424080981913,-1.3821333975554073,4.434179122,0.3178233631873124,0.9995604673361814,0.25425869054984995,0.25414693555029355
2.980629225,0.2512165648886829,-1.3814399035340432,4.429733134,0.3180437432037488,0.9994871613719148,0.25443499456299906,0.2543045104694505
2.97786964,0.2513908424610918,-1.380746409658525,4.425291933,0.3182642598044756,0.9994138363730679,0.2546114078435805,0.25446216389730064
2.975111968,0.25156524094166094,-1.3800529157598975,4.420855514,0.31848491311150856,0.9993404912937519,0.25478793048920684,0.2546198956308023
2.972356208,0.25173976039361273,-1.3793594219202452,4.416423874,0.31870570316680974,0.9992671254253099,0.2549645625334478,0.25477770548812007
2.969602358,0.25191440094363227,-1.3786659279697333,4.411997006,0.3189266300923169,0.9991937383420502,0.25514130407385355,0.25493559342301947
2.966850417,0.25208916265520986,-1.3779724339899138,4.407574906,0.3191476939297052,0.9991203299534224,0.25531815514376416,0.25509355941033673
2.964100384,0.25226404559183835,-1.3772789400623338,4.40315757,0.3193688947203491,0.9990469004763652,0.25549511577627926,0.25525160350314186
2.961352257,0.25243904988073873,-1.3765854460160953,4.398744992,0.31959023258591635,0.9989734504075041,0.2556721860687331,0.2554097258903117
2.958606036,0.2526141755218604,-1.3758919521848236,4.394337168,0.3198117074869061,0.9988999804969952,0.2558493659895249,0.25556792669710504
2.955861719,0.2527894226426068,-1.375198458397259,4.389934092,0.32003331954654757,0.9988264898657913,0.2560266556372381,0.2557262057622202
2.953119303,0.25296479143472994,-1.3745049642284701,4.385535761,0.32025506896891726,0.9987529778210636,0.25620405517513384,0.255884563035997
2.95037879,0.2531402817702958,-1.373811470517815,4.381142169,0.32047695555331096,0.9986794442018837,0.25638156444264876,0.25604299828119387
2.947640176,0.25331589390532133,-1.3731179765868569,4.376753312,0.3206989795843944,0.998605888686424,0.25655918366751557,0.25620151160696286
2.94490346,0.25349162790412116,-1.372424482515516,4.372369184,0.3209211411043135,0.9985323110332492,0.25673691288345085,0.25636010294905415
2.942168642,0.2536674837666673,-1.371730988637373,4.367989782,0.3211434400737739,0.9984587110278655,0.2569147520590191,0.2565187721848919
2.93943572,0.2538434616214527,-1.3710374947790145,4.3636151,0.3213658766158418,0.9983850884019998,0.2570927012926735,0.25667751930759475
2.936704692,0.254019561597332,-1.3703440007663144,4.359245133,0.3215884508539087,0.9983114428872887,0.257270760683127,0.25683634431028285
2.933975558,0.2541957836942921,-1.3696505069328233,4.354879877,0.3218111627483744,0.9982377742692948,0.2574489301986995,0.25699524706956084
2.931248315,0.2543721281060823,-1.3689570128496695,4.350519327,0.3220340125044071,0.9981640822526078,0.2576272100035257,0.25715422763646906
2.928522964,0.25454859476799535,-1.3682635191047543,4.346163478,0.3222570000004382,0.9980903666498666,0.2578056000003506,0.25731328582873875
2.925799501,0.2547251839390358,-1.3675700250137524,4.341812326,0.32248012552384364,0.9980166271385068,0.25798410041907494,0.25747242175560703
2.923077927,0.25490189555441883,-1.366876531164717,4.337465866,0.3227033889527459,0.9979428635312424,0.25816271116219675,0.25763163523419164
2.920358239,0.2550787298089061,-1.366183037126788,4.333124093,0.3229267904930915,0.9978690755324534,0.2583414323944732,0.2577909263152028
2.917640437,0.25525568670252113,-1.3654895432334437,4.328787002,0.32315033010467614,0.9977952629278443,0.2585202640837409,0.257950294873612
2.914924519,0.2554327663654248,-1.3647960493079914,4.324454589,0.323374007911589,0.9977214254488538,0.2586992063292712,0.2581097409013276
