z,H_over_H0,dL,w_phi,w_tot
4.756046379e-02,1.020644822e+00,4.935517910e-02,-9.998307929e-01,-6.720507175e-01
4.828719257e-02,1.020993317e+00,5.013570205e-02,-9.998298745e-01,-6.715920201e-01
4.901442551e-02,1.021342419e+00,5.091754703e-02,-9.998289518e-01,-6.711329951e-01
4.974216296e-02,1.021692128e+00,5.170071540e-02,-9.998280248e-01,-6.706736431e-01
5.047040526e-02,1.022042445e+00,5.248520854e-02,-9.998270934e-01,-6.702139648e-01
5.119915277e-02,1.022393371e+00,5.327102784e-02,-9.998261576e-01,-6.697539608e-01
5.192840583e-02,1.022744907e+00,5.405817466e-02,-9.998252174e-01,-6.692936317e-01
5.265816481e-02,1.023097055e+00,5.484665039e-02,-9.998242727e-01,-6.688329783e-01
5.338843004e-02,1.023449814e+00,5.563645640e-02,-9.998233237e-01,-6.683720011e-01
5.411920188e-02,1.023803186e+00,5.642759408e-02,-9.998223701e-01,-6.679107009e-01
5.485048069e-02,1.024157171e+00,5.722006480e-02,-9.998214121e-01,-6.674490783e-01
5.558226681e-02,1.024511772e+00,5.801386995e-02,-9.998204495e-01,-6.669871339e-01
5.631456059e-02,1.024866987e+00,5.880901089e-02,-9.998194825e-01,-6.665248684e-01
5.704736239e-02,1.025222819e+00,5.960548902e-02,-9.998185109e-01,-6.660622826e-01
5.778067256e-02,1.025579268e+00,6.040330572e-02,-9.998175347e-01,-6.655993769e-01
5.851449146e-02,1.025936335e+00,6.120246236e-02,-9.998165540e-01,-6.651361522e-01
5.924881942e-02,1.026294021e+00,6.200296034e-02,-9.998155686e-01,-6.646726091e-01
5.998365682e-02,1.026652327e+00,6.280480102e-02,-9.998145787e-01,-6.642087483e-01
6.071900400e-02,1.027011254e+00,6.360798580e-02,-9.998135841e-01,-6.637445704e-01
6.145486132e-02,1.027370803e+00,6.441251605e-02,-9.998125848e-01,-6.632800762e-01
6.219122912e-02,1.027730974e+00,6.521839316e-02,-9.998115808e-01,-6.628152663e-01
6.292810777e-02,1.028091769e+00,6.602561852e-02,-9.998105722e-01,-6.623501413e-01
6.366549761e-02,1.028453188e+00,6.683419351e-02,-9.998095588e-01,-6.618847021e-01
6.440339901e-02,1.028815233e+00,6.764411951e-02,-9.998085407e-01,-6.614189492e-01
6.514181232e-02,1.029177904e+00,6.845539792e-02,-9.998075178e-01,-6.609528834e-01
6.588073789e-02,1.029541202e+00,6.926803010e-02,-9.998064901e-01,-6.604865054e-01
6.662017608e-02,1.029905128e+00,7.008201746e-02,-9.998054577e-01,-6.600198158e-01
6.736012724e-02,1.030269683e+00,7.089736138e-02,-9.998044204e-01,-6.595528154e-01
6.810059173e-02,1.030634868e+00,7.171406324e-02,-9.998033782e-01,-6.590855048e-01
6.884156991e-02,1.031000684e+00,7.253212443e-02,-9.998023312e-01,-6.586178848e-01
6.958306212e-02,1.031367131e+00,7.335154634e-02,-9.998012793e-01,-6.581499561e-01
7.032506874e-02,1.031734211e+00,7.417233036e-02,-9.998002225e-01,-6.576817194e-01
7.106759011e-02,1.032101924e+00,7.499447788e-02,-9.997991608e-01,-6.572131753e-01
7.181062660e-02,1.032470272e+00,7.581799028e-02,-9.997980941e-01,-6.567443246e-01
7.255417856e-02,1.032839256e+00,7.664286896e-02,-9.997970224e-01,-6.562751681e-01
7.329824634e-02,1.033208875e+00,7.746911530e-02,-9.997959457e-01,-6.558057064e-01
7.404283031e-02,1.033579132e+00,7.829673069e-02,-9.997948641e-01,-6.553359402e-01
7.478793082e-02,1.033950027e+00,7.912571653e-02,-9.997937774e-01,-6.548658703e-01
7.553354823e-02,1.034321561e+00,7.995607421e-02,-9.997926856e-01,-6.543954974e-01
7.627968291e-02,1.034693735e+00,8.078780511e-02,-9.997915888e-01,-6.539248222e-01
7.702633520e-02,1.035066550e+00,8.162091063e-02,-9.997904868e-01,-6.534538454e-01
7.777350547e-02,1.035440006e+00,8.245539217e-02,-9.997893797e-01,-6.529825679e-01
7.852119408e-02,1.035814105e+00,8.329125110e-02,-9.997882675e-01,-6.525109902e-01
7.926940139e-02,1.036188848e+00,8.412848883e-02,-9.997871501e-01,-6.520391132e-01
8.001812776e-02,1.036564236e+00,8.496710676e-02,-9.997860275e-01,-6.515669376e-01
8.076737354e-02,1.036940268e+00,8.580710626e-02,-9.997848997e-01,-6.510944641e-01
8.151713910e-02,1.037316948e+00,8.664848874e-02,-9.997837667e-01,-6.506216934e-01
8.226742480e-02,1.037694274e+00,8.749125560e-02,-9.997826284e-01,-6.501486264e-01
8.301823099e-02,1.038072249e+00,8.833540822e-02,-9.997814848e-01,-6.496752637e-01
8.376955805e-02,1.038450873e+00,8.918094800e-02,-9.997803360e-01,-6.492016062e-01
8.452140633e-02,1.038830147e+00,9.002787634e-02,-9.997791818e-01,-6.487276544e-01
8.527377619e-02,1.039210072e+00,9.087619463e-02,-9.997780222e-01,-6.482534093e-01
8.602666800e-02,1.039590649e+00,9.172590427e-02,-9.997768573e-01,-6.477788716e-01
8.678008211e-02,1.039971879e+00,9.257700666e-02,-9.997756870e-01,-6.473040419e-01
8.753401889e-02,1.040353763e+00,9.342950319e-02,-9.997745112e-01,-6.468289211e-01
8.828847871e-02,1.040736302e+00,9.428339526e-02,-9.997733301e-01,-6.463535100e-01
8.904346191e-02,1.041119496e+00,9.513868427e-02,-9.997721434e-01,-6.458778093e-01
8.979896888e-02,1.041503347e+00,9.599537162e-02,-9.997709513e-01,-6.454018197e-01
9.055499997e-02,1.041887855e+00,9.685345870e-02,-9.997697536e-01,-6.449255421e-01
9.131155554e-02,1.042273022e+00,9.771294692e-02,-9.997685505e-01,-6.444489772e-01
9.206863597e-02,1.042658849e+00,9.857383767e-02,-9.997673417e-01,-6.439721257e-01
9.282624160e-02,1.043045336e+00,9.943613235e-02,-9.997661274e-01,-6.434949885e-01
9.358437281e-02,1.043432484e+00,1.002998324e-01,-9.997649075e-01,-6.430175663e-01
9.434302996e-02,1.043820294e+00,1.011649391e-01,-9.997636819e-01,-6.425398600e-01
9.510221342e-02,1.044208767e+00,1.020314540e-01,-9.997624507e-01,-6.420618702e-01
9.586192356e-02,1.044597905e+00,1.028993784e-01,-9.997612138e-01,-6.415835978e-01
9.662216073e-02,1.044987708e+00,1.037687138e-01,-9.997599712e-01,-6.411050435e-01
9.738292530e-02,1.045378176e+00,1.046394615e-01,-9.997587228e-01,-6.406262082e-01
9.814421764e-02,1.045769312e+00,1.055116229e-01,-9.997574687e-01,-6.401470926e-01
9.890603811e-02,1.046161116e+00,1.063851995e-01,-9.997562089e-01,-6.396676976e-01
9.966838709e-02,1.046553588e+00,1.072601926e-01,-9.997549432e-01,-6.391880239e-01
1.004312649e-01,1.046946730e+00,1.081366037e-01,-9.997536717e-01,-6.387080722e-01
1.011946720e-01,1.047340543e+00,1.090144341e-01,-9.997523943e-01,-6.382278435e-01
1.019586087e-01,1.047735028e+00,1.098936853e-01,-9.997511111e-01,-6.377473385e-01
1.027230753e-01,1.048130185e+00,1.107743587e-01,-9.997498220e-01,-6.372665580e-01
1.034880723e-01,1.048526016e+00,1.116564556e-01,-9.997485269e-01,-6.367855029e-01
1.042536000e-01,1.048922521e+00,1.125399775e-01,-9.997472259e-01,-6.363041738e-01
1.050196588e-01,1.049319702e+00,1.134249257e-01,-9.997459189e-01,-6.358225717e-01
1.057862490e-01,1.049717559e+00,1.143113018e-01,-9.997446059e-01,-6.353406974e-01
1.065533710e-01,1.050116094e+00,1.151991070e-01,-9.997432869e-01,-6.348585516e-01
1.073210252e-01,1.050515307e+00,1.160883429e-01,-9.997419618e-01,-6.343761351e-01
1.080892119e-01,1.050915199e+00,1.169790107e-01,-9.997406306e-01,-6.338934489e-01
1.088579316e-01,1.051315771e+00,1.178711119e-01,-9.997392933e-01,-6.334104937e-01
1.096271845e-01,1.051717025e+00,1.187646480e-01,-9.997379499e-01,-6.329272703e-01
1.103969712e-01,1.052118961e+00,1.196596203e-01,-9.997366003e-01,-6.324437795e-01
1.111672918e-01,1.052521580e+00,1.205560302e-01,-9.997352445e-01,-6.319600223e-01
1.119381468e-01,1.052924883e+00,1.214538792e-01,-9.997338826e-01,-6.314759993e-01
1.127095366e-01,1.053328871e+00,1.223531686e-01,-9.997325143e-01,-6.309917115e-01
1.134814615e-01,1.053733545e+00,1.232538999e-01,-9.997311398e-01,-6.305071596e-01
1.142539220e-01,1.054138906e+00,1.241560744e-01,-9.997297590e-01,-6.300223445e-01
1.150269183e-01,1.054544955e+00,1.250596937e-01,-9.997283719e-01,-6.295372671e-01
1.158004509e-01,1.054951693e+00,1.259647590e-01,-9.997269785e-01,-6.290519281e-01
1.165745201e-01,1.055359120e+00,1.268712718e-01,-9.997255786e-01,-6.285663285e-01
1.173491263e-01,1.055767239e+00,1.277792335e-01,-9.997241724e-01,-6.280804690e-01
1.181242699e-01,1.056176049e+00,1.286886456e-01,-9.997227597e-01,-6.275943505e-01
1.188999512e-01,1.056585552e+00,1.295995094e-01,-9.997213406e-01,-6.271079739e-01
1.196761707e-01,1.056995749e+00,1.305118263e-01,-9.997199150e-01,-6.266213399e-01
1.204529286e-01,1.057406640e+00,1.314255978e-01,-9.997184829e-01,-6.261344495e-01
1.212302254e-01,1.057818227e+00,1.323408252e-01,-9.997170442e-01,-6.256473035e-01
1.220080615e-01,1.058230510e+00,1.332575101e-01,-9.997155990e-01,-6.251599027e-01
1.227864371e-01,1.058643491e+00,1.341756537e-01,-9.997141471e-01,-6.246722480e-01
1.235653527e-01,1.059057171e+00,1.350952576e-01,-9.997126887e-01,-6.241843403e-01
1.243448087e-01,1.059471550e+00,1.360163231e-01,-9.997112235e-01,-6.236961804e-01
1.251248054e-01,1.059886630e+00,1.369388516e-01,-9.997097517e-01,-6.232077692e-01
1.259053433e-01,1.060302411e+00,1.378628446e-01,-9.997082732e-01,-6.227191076e-01
1.266864226e-01,1.060718894e+00,1.387883034e-01,-9.997067880e-01,-6.222301963e-01
1.274680438e-01,1.061136081e+00,1.397152295e-01,-9.997052960e-01,-6.217410363e-01
1.282502072e-01,1.061553973e+00,1.406436243e-01,-9.997037971e-01,-6.212516285e-01
1.290329133e-01,1.061972569e+00,1.415734893e-01,-9.997022915e-01,-6.207619737e-01
1.298161623e-01,1.062391872e+00,1.425048258e-01,-9.997007790e-01,-6.202720728e-01
1.305999547e-01,1.062811883e+00,1.434376352e-01,-9.996992596e-01,-6.197819267e-01
1.313842908e-01,1.063232601e+00,1.443719190e-01,-9.996977333e-01,-6.192915362e-01
1.321691711e-01,1.063654029e+00,1.453076785e-01,-9.996962001e-01,-6.188009022e-01
1.329545958e-01,1.064076167e+00,1.462449153e-01,-9.996946599e-01,-6.183100256e-01
1.337405655e-01,1.064499017e+00,1.471836307e-01,-9.996931126e-01,-6.178189074e-01
1.345270804e-01,1.064922578e+00,1.481238261e-01,-9.996915584e-01,-6.173275483e-01
1.353141409e-01,1.065346853e+00,1.490655030e-01,-9.996899971e-01,-6.168359492e-01
1.361017474e-01,1.065771842e+00,1.500086627e-01,-9.996884286e-01,-6.163441112e-01
1.368899003e-01,1.066197546e+00,1.509533067e-01,-9.996868531e-01,-6.158520349e-01
1.376786000e-01,1.066623966e+00,1.518994365e-01,-9.996852704e-01,-6.153597214e-01
1.384678469e-01,1.067051104e+00,1.528470534e-01,-9.996836805e-01,-6.148671715e-01
1.392576412e-01,1.067478959e+00,1.537961588e-01,-9.996820834e-01,-6.143743862e-01
1.400479835e-01,1.067907534e+00,1.547467542e-01,-9.996804791e-01,-6.138813663e-01
1.408388741e-01,1.068336829e+00,1.556988410e-01,-9.996788675e-01,-6.133881127e-01
1.416303133e-01,1.068766844e+00,1.566524206e-01,-9.996772486e-01,-6.128946263e-01
1.424223016e-01,1.069197582e+00,1.576074944e-01,-9.996756223e-01,-6.124009080e-01
1.432148393e-01,1.069629043e+00,1.585640639e-01,-9.996739886e-01,-6.119069588e-01
1.440079268e-01,1.070061228e+00,1.595221305e-01,-9.996723476e-01,-6.114127796e-01
1.448015645e-01,1.070494138e+00,1.604816955e-01,-9.996706991e-01,-6.109183711e-01
1.455957528e-01,1.070927775e+00,1.614427605e-01,-9.996690432e-01,-6.104237345e-01
1.463904920e-01,1.071362138e+00,1.624053269e-01,-9.996673797e-01,-6.099288705e-01
1.471857826e-01,1.071797229e+00,1.633693960e-01,-9.996657088e-01,-6.094337801e-01
1.479816249e-01,1.072233049e+00,1.643349693e-01,-9.996640302e-01,-6.089384643e-01
1.487780193e-01,1.072669599e+00,1.653020482e-01,-9.996623441e-01,-6.084429238e-01
1.495749662e-01,1.073106881e+00,1.662706341e-01,-9.996606504e-01,-6.079471597e-01
1.503724659e-01,1.073544894e+00,1.672407285e-01,-9.996589489e-01,-6.074511729e-01
1.511705189e-01,1.073983640e+00,1.682123328e-01,-9.996572398e-01,-6.069549643e-01
1.519691256e-01,1.074423121e+00,1.691854484e-01,-9.996555230e-01,-6.064585348e-01
1.527682863e-01,1.074863336e+00,1.701600767e-01,-9.996537984e-01,-6.059618853e-01
1.535680013e-01,1.075304288e+00,1.711362192e-01,-9.996520660e-01,-6.054650168e-01
1.543682712e-01,1.075745976e+00,1.721138773e-01,-9.996503258e-01,-6.049679302e-01
1.551690962e-01,1.076188402e+00,1.730930524e-01,-9.996485778e-01,-6.044706265e-01
1.559704768e-01,1.076631568e+00,1.740737460e-01,-9.996468218e-01,-6.039731066e-01
1.567724134e-01,1.077075474e+00,1.750559594e-01,-9.996450580e-01,-6.034753713e-01
1.575749063e-01,1.077520120e+00,1.760396941e-01,-9.996432861e-01,-6.029774217e-01
1.583779558e-01,1.077965509e+00,1.770249515e-01,-9.996415063e-01,-6.024792587e-01
1.591815625e-01,1.078411640e+00,1.780117331e-01,-9.996397184e-01,-6.019808832e-01
1.599857267e-01,1.078858516e+00,1.790000402e-01,-9.996379225e-01,-6.014822962e-01
1.607904488e-01,1.079306137e+00,1.799898744e-01,-9.996361185e-01,-6.009834987e-01
1.615957291e-01,1.079754504e+00,1.809812370e-01,-9.996343064e-01,-6.004844914e-01
1.624015681e-01,1.080203618e+00,1.819741294e-01,-9.996324861e-01,-5.999852755e-01
1.632079661e-01,1.080653480e+00,1.829685531e-01,-9.996306576e-01,-5.994858519e-01
1.640149235e-01,1.081104091e+00,1.839645096e-01,-9.996288209e-01,-5.989862215e-01
1.648224408e-01,1.081555453e+00,1.849620002e-01,-9.996269759e-01,-5.984863853e-01
1.656305182e-01,1.082007565e+00,1.859610264e-01,-9.996251225e-01,-5.979863441e-01
1.664391563e-01,1.082460430e+00,1.869615896e-01,-9.996232609e-01,-5.974860991e-01
1.672483553e-01,1.082914048e+00,1.879636912e-01,-9.996213909e-01,-5.969856511e-01
1.680581157e-01,1.083368420e+00,1.889673327e-01,-9.996195125e-01,-5.964850011e-01
1.688684379e-01,1.083823547e+00,1.899725155e-01,-9.996176256e-01,-5.959841501e-01
