z,H_over_H0,dL,w_phi,w_tot
4.756046379e-02,1.022224607e+00,4.931615961e-02,-9.998302808e-01,-6.730635851e-01
4.828719257e-02,1.022595889e+00,5.009549405e-02,-9.998293525e-01,-6.726205494e-01
4.901442551e-02,1.022967753e+00,5.087613227e-02,-9.998284198e-01,-6.721772004e-01
4.974216296e-02,1.023340200e+00,5.165807561e-02,-9.998274827e-01,-6.717335385e-01
5.047040526e-02,1.023713232e+00,5.244132544e-02,-9.998265412e-01,-6.712895644e-01
5.119915277e-02,1.024086849e+00,5.322588311e-02,-9.998255952e-01,-6.708452786e-01
5.192840583e-02,1.024461053e+00,5.401175000e-02,-9.998246447e-01,-6.704006817e-01
5.265816481e-02,1.024835843e+00,5.479892745e-02,-9.998236897e-01,-6.699557742e-01
5.338843004e-02,1.025211221e+00,5.558741683e-02,-9.998227301e-01,-6.695105567e-01
5.411920188e-02,1.025587187e+00,5.637721950e-02,-9.998217661e-01,-6.690650299e-01
5.485048069e-02,1.025963744e+00,5.716833683e-02,-9.998207974e-01,-6.686191942e-01
5.558226681e-02,1.026340890e+00,5.796077017e-02,-9.998198242e-01,-6.681730503e-01
5.631456059e-02,1.026718628e+00,5.875452089e-02,-9.998188464e-01,-6.677265987e-01
5.704736239e-02,1.027096958e+00,5.954959036e-02,-9.998178639e-01,-6.672798400e-01
5.778067256e-02,1.027475881e+00,6.034597994e-02,-9.998168768e-01,-6.668327748e-01
5.851449146e-02,1.027855398e+00,6.114369100e-02,-9.998158851e-01,-6.663854037e-01
5.924881942e-02,1.028235510e+00,6.194272489e-02,-9.998148887e-01,-6.659377273e-01
5.998365682e-02,1.028616218e+00,6.274308299e-02,-9.998138875e-01,-6.654897461e-01
6.071900400e-02,1.028997522e+00,6.354476667e-02,-9.998128817e-01,-6.650414608e-01
6.145486132e-02,1.029379423e+00,6.434777728e-02,-9.998118710e-01,-6.645928719e-01
6.219122912e-02,1.029761923e+00,6.515211620e-02,-9.998108557e-01,-6.641439801e-01
6.292810777e-02,1.030145022e+00,6.595778479e-02,-9.998098355e-01,-6.636947860e-01
6.366549761e-02,1.030528721e+00,6.676478443e-02,-9.998088105e-01,-6.632452901e-01
6.440339901e-02,1.030913021e+00,6.757311648e-02,-9.998077807e-01,-6.627954930e-01
6.514181232e-02,1.031297923e+00,6.838278231e-02,-9.998067461e-01,-6.623453954e-01
6.588073789e-02,1.031683427e+00,6.919378330e-02,-9.998057066e-01,-6.618949979e-01
6.662017608e-02,1.032069535e+00,7.000612080e-02,-9.998046622e-01,-6.614443011e-01
6.736012724e-02,1.032456248e+00,7.081979620e-02,-9.998036129e-01,-6.609933055e-01
6.810059173e-02,1.032843566e+00,7.163481087e-02,-9.998025586e-01,-6.605420118e-01
6.884156991e-02,1.033231490e+00,7.245116616e-02,-9.998014994e-01,-6.600904207e-01
6.958306212e-02,1.033620021e+00,7.326886347e-02,-9.998004352e-01,-6.596385326e-01
7.032506874e-02,1.034009161e+00,7.408790416e-02,-9.997993660e-01,-6.591863484e-01
7.106759011e-02,1.034398909e+00,7.490828960e-02,-9.997982918e-01,-6.587338685e-01
7.181062660e-02,1.034789267e+00,7.573002117e-02,-9.997972126e-01,-6.582810936e-01
7.255417856e-02,1.035180236e+00,7.655310024e-02,-9.997961283e-01,-6.578280243e-01
7.329824634e-02,1.035571816e+00,7.737752819e-02,-9.997950389e-01,-6.573746613e-01
7.404283031e-02,1.035964009e+00,7.820330638e-02,-9.997939444e-01,-6.569210051e-01
7.478793082e-02,1.036356815e+00,7.903043621e-02,-9.997928448e-01,-6.564670565e-01
7.553354823e-02,1.036750236e+00,7.985891904e-02,-9.997917400e-01,-6.560128160e-01
7.627968291e-02,1.037144272e+00,8.068875625e-02,-9.997906301e-01,-6.555582843e-01
7.702633520e-02,1.037538923e+00,8.151994921e-02,-9.997895149e-01,-6.551034620e-01
7.777350547e-02,1.037934192e+00,8.235249931e-02,-9.997883946e-01,-6.546483497e-01
7.852119408e-02,1.038330079e+00,8.318640792e-02,-9.997872690e-01,-6.541929482e-01
7.926940139e-02,1.038726584e+00,8.402167642e-02,-9.997861381e-01,-6.537372580e-01
8.001812776e-02,1.039123709e+00,8.485830619e-02,-9.997850019e-01,-6.532812798e-01
8.076737354e-02,1.039521455e+00,8.569629860e-02,-9.997838605e-01,-6.528250142e-01
8.151713910e-02,1.039919822e+00,8.653565505e-02,-9.997827137e-01,-6.523684619e-01
8.226742480e-02,1.040318811e+00,8.737637690e-02,-9.997815615e-01,-6.519116236e-01
8.301823099e-02,1.040718424e+00,8.821846554e-02,-9.997804040e-01,-6.514544998e-01
8.376955805e-02,1.041118661e+00,8.906192235e-02,-9.997792411e-01,-6.509970913e-01
8.452140633e-02,1.041519523e+00,8.990674871e-02,-9.997780727e-01,-6.505393987e-01
8.527377619e-02,1.041921011e+00,9.075294601e-02,-9.997768989e-01,-6.500814227e-01
8.602666800e-02,1.042323126e+00,9.160051562e-02,-9.997757196e-01,-6.496231639e-01
8.678008211e-02,1.042725868e+00,9.244945893e-02,-9.997745348e-01,-6.491646230e-01
