z,H_over_H0,dL,w_phi,w_tot
0.000000000e+00,9.986314958e-01,0.000000000e+00,-9.998833676e-01,-7.020055754e-01
6.937344500e-04,9.989899962e-01,6.950423217e-04,-9.998826893e-01,-7.015992432e-01
1.387950168e-03,9.993490020e-01,1.391281600e-03,-9.998820076e-01,-7.011925823e-01
2.082647486e-03,9.997085143e-01,2.088719138e-03,-9.998813225e-01,-7.007855931e-01
2.777826741e-03,1.000068534e+00,2.787356239e-03,-9.998806340e-01,-7.003782760e-01
3.473488265e-03,1.000429061e+00,3.487194206e-03,-9.998799422e-01,-6.999706313e-01
4.169632393e-03,1.000790097e+00,4.188234345e-03,-9.998792470e-01,-6.995626593e-01
4.866259461e-03,1.001151643e+00,4.890477959e-03,-9.998785483e-01,-6.991543606e-01
5.563369803e-03,1.001513698e+00,5.593926356e-03,-9.998778463e-01,-6.987457353e-01
6.260963754e-03,1.001876265e+00,6.298580841e-03,-9.998771407e-01,-6.983367840e-01
6.959041651e-03,1.002239344e+00,7.004442722e-03,-9.998764317e-01,-6.979275069e-01
7.657603828e-03,1.002602936e+00,7.711513306e-03,-9.998757193e-01,-6.975179045e-01
8.356650621e-03,1.002967040e+00,8.419793901e-03,-9.998750033e-01,-6.971079771e-01
9.056182368e-03,1.003331659e+00,9.129285816e-03,-9.998742838e-01,-6.966977251e-01
9.756199403e-03,1.003696794e+00,9.839990361e-03,-9.998735608e-01,-6.962871489e-01
1.045670206e-02,1.004062443e+00,1.055190885e-02,-9.998728343e-01,-6.958762489e-01
1.115769069e-02,1.004428610e+00,1.126504258e-02,-9.998721042e-01,-6.954650254e-01
1.185916561e-02,1.004795294e+00,1.197939288e-02,-9.998713705e-01,-6.950534789e-01
1.256112718e-02,1.005162496e+00,1.269496105e-02,-9.998706333e-01,-6.946416098e-01
1.326357571e-02,1.005530217e+00,1.341174840e-02,-9.998698924e-01,-6.942294184e-01
1.396651156e-02,1.005898458e+00,1.412975626e-02,-9.998691479e-01,-6.938169051e-01
1.466993506e-02,1.006267219e+00,1.484898593e-02,-9.998683998e-01,-6.934040703e-01
1.537384655e-02,1.006636502e+00,1.556943872e-02,-9.998676481e-01,-6.929909144e-01
1.607824637e-02,1.007006307e+00,1.629111596e-02,-9.998668926e-01,-6.925774378e-01
1.678313485e-02,1.007376634e+00,1.701401895e-02,-9.998661335e-01,-6.921636410e-01
1.748851234e-02,1.007747486e+00,1.773814902e-02,-9.998653707e-01,-6.917495243e-01
1.819437917e-02,1.008118862e+00,1.846350748e-02,-9.998646042e-01,-6.913350881e-01
1.890073569e-02,1.008490763e+00,1.919009565e-02,-9.998638339e-01,-6.909203328e-01
1.960758223e-02,1.008863191e+00,1.991791484e-02,-9.998630599e-01,-6.905052589e-01
2.031491914e-02,1.009236146e+00,2.064696638e-02,-9.998622822e-01,-6.900898667e-01
2.102274675e-02,1.009609628e+00,2.137725158e-02,-9.998615006e-01,-6.896741567e-01
2.173106540e-02,1.009983639e+00,2.210877176e-02,-9.998607153e-01,-6.892581293e-01
2.243987544e-02,1.010358179e+00,2.284152825e-02,-9.998599261e-01,-6.888417848e-01
2.314917721e-02,1.010733250e+00,2.357552236e-02,-9.998591331e-01,-6.884251237e-01
2.385897104e-02,1.011108851e+00,2.431075542e-02,-9.998583363e-01,-6.880081465e-01
2.456925728e-02,1.011484984e+00,2.504722874e-02,-9.998575356e-01,-6.875908535e-01
2.528003627e-02,1.011861650e+00,2.578494366e-02,-9.998567310e-01,-6.871732452e-01
2.599130835e-02,1.012238850e+00,2.652390149e-02,-9.998559225e-01,-6.867553220e-01
2.670307387e-02,1.012616583e+00,2.726410356e-02,-9.998551101e-01,-6.863370843e-01
2.741533316e-02,1.012994852e+00,2.800555119e-02,-9.998542937e-01,-6.859185326e-01
2.812808657e-02,1.013373656e+00,2.874824571e-02,-9.998534734e-01,-6.854996672e-01
2.884133444e-02,1.013752997e+00,2.949218844e-02,-9.998526492e-01,-6.850804887e-01
2.955507712e-02,1.014132876e+00,3.023738071e-02,-9.998518209e-01,-6.846609974e-01
3.026931494e-02,1.014513293e+00,3.098382385e-02,-9.998509887e-01,-6.842411938e-01
3.098404826e-02,1.014894249e+00,3.173151918e-02,-9.998501524e-01,-6.838210783e-01
3.169927741e-02,1.015275745e+00,3.248046803e-02,-9.998493121e-01,-6.834006514e-01
3.241500274e-02,1.015657781e+00,3.323067173e-02,-9.998484678e-01,-6.829799135e-01
3.313122460e-02,1.016040359e+00,3.398213161e-02,-9.998476193e-01,-6.825588650e-01
3.384794332e-02,1.016423480e+00,3.473484900e-02,-9.998467668e-01,-6.821375064e-01
3.456515925e-02,1.016807144e+00,3.548882523e-02,-9.998459102e-01,-6.817158382e-01
3.528287275e-02,1.017191352e+00,3.624406163e-02,-9.998450494e-01,-6.812938608e-01
3.600108414e-02,1.017576105e+00,3.700055954e-02,-9.998441845e-01,-6.808715746e-01
3.671979378e-02,1.017961403e+00,3.775832027e-02,-9.998433154e-01,-6.804489801e-01
3.743900202e-02,1.018347248e+00,3.851734518e-02,-9.998424422e-01,-6.800260777e-01
3.815870919e-02,1.018733640e+00,3.927763558e-02,-9.998415647e-01,-6.796028680e-01
3.887891565e-02,1.019120581e+00,4.003919281e-02,-9.998406830e-01,-6.791793513e-01
3.959962175e-02,1.019508070e+00,4.080201822e-02,-9.998397971e-01,-6.787555281e-01
4.032082782e-02,1.019896109e+00,4.156611312e-02,-9.998389069e-01,-6.783313989e-01
4.104253422e-02,1.020284699e+00,4.233147887e-02,-9.998380125e-01,-6.779069642e-01
